DATA,CONFIRMADO,CURADO,OBITO
13/03/2020,3,0,0
14/03/2020,3,0,0
15/03/2020,4,0,0
16/03/2020,4,0,0
17/03/2020,5,0,0
18/03/2020,17,0,0
19/03/2020,18,0,0
20/03/2020,18,0,0
21/03/2020,23,0,0
22/03/2020,33,0,0
23/03/2020,37,0,0
24/03/2020,45,0,0
25/03/2020,54,0,0
26/03/2020,60,0,0
27/03/2020,78,0,0
28/03/2020,81,0,0
29/03/2020,103,0,1
30/03/2020,117,0,2
31/03/2020,132,0,2
01/04/2020,153,0,2
02/04/2020,167,0,3
03/04/2020,183,0,5
04/04/2020,215,0,5
05/04/2020,244,0,7
06/04/2020,263,0,8
07/04/2020,269,0,10
08/04/2020,292,0,11
09/04/2020,314,0,11
10/04/2020,343,0,11
11/04/2020,355,0,11
12/04/2020,364,0,11
13/04/2020,390,0,11
14/04/2020,428,0,13
15/04/2020,522,0,15
16/04/2020,572,0,18
17/04/2020,643,0,18
18/04/2020,760,0,19
19/04/2020,764,0,22
20/04/2020,824,0,23
21/04/2020,927,0,23
22/04/2020,1039,0,27
23/04/2020,1137,0,34
24/04/2020,1223,0,37
25/04/2020,1308,0,38
26/04/2020,1362,0,39
27/04/2020,1435,0,48
28/04/2020,1583,0,56
29/04/2020,1645,0,62
30/04/2020,1790,0,67
01/05/2020,2001,0,76
02/05/2020,2106,0,78
03/05/2020,2253,0,80
04/05/2020,2377,0,91
05/05/2020,2606,0,95
06/05/2020,2754,0,98
07/05/2020,2884,0,101
08/05/2020,3136,0,118
09/05/2020,3349,0,127
10/05/2020,3677,0,128
11/05/2020,3891,0,138
12/05/2020,4120,0,145
13/05/2020,4362,0,148
14/05/2020,4632,0,167
15/05/2020,4843,744,179
16/05/2020,5171,759,181
17/05/2020,5322,759,185
18/05/2020,5500,759,192
19/05/2020,5703,834,202
20/05/2020,5931,937,225
21/05/2020,6534,944,258
22/05/2020,6841,983,259
23/05/2020,7073,998,284
24/05/2020,7812,1170,310
25/05/2020,8208,1219,324
26/05/2020,8750,1219,324
27/05/2020,9187,1337,368
28/05/2020,9885,1494,376
29/05/2020,10426,1683,386
30/05/2020,10909,1683,412
31/05/2020,11632,2199,412
01/06/2020,12085,2563,427
02/06/2020,12780,4110,481
03/06/2020,13278,4110,511
04/06/2020,13745,4326,549
05/06/2020,15173,4472,555
06/06/2020,15630,4471,555
07/06/2020,16088,4273,600
08/06/2020,16651,4276,600
09/06/2020,17176,4472,640
10/06/2020,18151,4264,674
11/06/2020,18706,4264,707
12/06/2020,18744,5251,720
13/06/2020,19687,7030,728
14/06/2020,19860,7071,742
15/06/2020,20467,7127,752
16/06/2020,21162,8100,775
17/06/2020,21893,9319,800
18/06/2020,21928,9319,827
19/06/2020,22155,9319,854
20/06/2020,23047,10615,884
21/06/2020,23347,10683,904
22/06/2020,23615,10829,919
23/06/2020,24199,12121,953
24/06/2020,25279,13573,991
25/06/2020,26230,14962,1029
26/06/2020,27666,15150,1046
27/06/2020,28848,15519,1065
28/06/2020,31977,16145,1093
29/06/2020,32198,16364,1129
30/06/2020,33505,16364,1163
01/07/2020,34613,16364,1163
02/07/2020,35568,16468,1209
03/07/2020,36434,17619,1234
04/07/2020,37795,17619,1256
05/07/2020,38273,17619,1277
06/07/2020,38512,19264,1311
07/07/2020,39708,19345,1339
08/07/2020,40655,19724,1366
09/07/2020,41297,20142,1378
10/07/2020,41932,20868,1391
11/07/2020,42153,20946,1415
12/07/2020,42432,21424,1581
13/07/2020,42539,21424,1581
14/07/2020,43934,23157,1581
15/07/2020,44100,23300,1581
16/07/2020,45411,24708,1581
17/07/2020,45944,25055,1581
18/07/2020,46315,25062,1581
19/07/2020,46549,25086,1581
20/07/2020,46684,25086,1581
21/07/2020,47195,25102,1581
22/07/2020,48746,25861,1582
23/07/2020,49903,44187,1605
24/07/2020,50790,45904,1630
25/07/2020,51555,46850,1636
26/07/2020,51955,47440,1641
27/07/2020,52399,48167,1649
28/07/2020,53352,49288,1655
29/07/2020,54458,50498,1669
30/07/2020,55221,51321,1714
31/07/2020,56201,52508,1755
01/08/2020,56812,52964,1782
02/08/2020,56924,53157,1798
03/08/2020,57582,53923,1833
04/08/2020,58274,54650,1852
05/08/2020,58668,55126,1869
06/08/2020,60301,56304,1928
07/08/2020,61403,56826,1942
08/08/2020,62054,58271,1962
09/08/2020,62176,58376,1983
10/08/2020,62569,58968,2003
11/08/2020,63757,60439,2014
12/08/2020,64624,60796,2034
13/08/2020,65675,61460,2065
14/08/2020,66904,62119,2093
15/08/2020,67828,63268,2122
16/08/2020,67964,64237,2153
17/08/2020,68087,64457,2174
18/08/2020,69025,65474,2190
19/08/2020,69421,66640,2213
20/08/2020,71044,67579,2238
21/08/2020,71223,68009,2263
22/08/2020,72188,68619,2276
23/08/2020,72284,68762,2291
